total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million
1.0,1.0,0,0.0,22,22,0,0.0
2.0,1.0,0,0.0,44,22,0,0.0
8.0,6.0,0,0.0,177,133,0,0.0
9.0,1.0,1.0,1.0,199,22,22,22
12.0,3.0,1.0,0.0,266,66,22,0.0
19.0,7.0,1.0,0.0,0.42,155,22,0.0
31.0,12.0,1.0,0.0,686,266,22,0.0
34.0,3.0,2.0,1.0,752,66,44,22
45.0,11.0,2.0,0.0,996,243,44,0.0
56.0,11.0,2.0,0.0,1239,243,44,0.0
65.0,9.0,2.0,0.0,1438,199,44,0.0
79.0,14.0,2.0,0.0,1748,0.31,44,0.0
97.0,18.0,2.0,0.0,2146,398,44,0.0
128.0,31.0,3.0,1.0,2832,686,66,22
158.0,30.0,3.0,0.0,3496,664,66,0.0
225.0,67.0,4.0,1.0,4978,1482,89,22
266.0,41.0,4.0,0.0,5886,907,89,0.0
301.0,35.0,4.0,0.0,6.66,774,89,0.0
387.0,86.0,6.0,2.0,8563,1903,133,44
502.0,115.0,8.0,2.0,11107,2544,177,44
589.0,87.0,12.0,4.0,13032,1925,266,89
690.0,101.0,17.0,5.0,15267,2235,376,111
745.0,55.0,19.0,2.0,16484,1217,0.42,44
820.0,75.0,20.0,1.0,18143,1659,443,22
966.0,146.0,24.0,4.0,21374,3.23,531,89
966.0,0.0,24.0,0.0,21374,0.0,531,0.0
1133.0,167.0,31.0,7.0,25069,3695,686,155
1133.0,0.0,34.0,3.0,25069,0.0,752,66
1265.0,132.0,37.0,3.0,27989,2921,819,66
1451.0,186.0,43.0,6.0,32105,4115,951,133
1554.0,103.0,46.0,3.0,34384,2279,1018,66
1628.0,74.0,53.0,7.0,36021,1637,1173,155
1715.0,87.0,60.0,7.0,37946,1925,1328,155
1795.0,80.0,65.0,5.0,39716,1.77,1438,111
1894.0,99.0,79.0,14.0,41907,2.19,1748,0.31
1975.0,81.0,82.0,3.0,43699,1792,1814,66
2137.0,162.0,89.0,7.0,47283,3584,1969,155
2203.0,66.0,95.0,6.0,48743,1.46,2102,133
2272.0,69.0,98.0,3.0,50.27,1527,2168,66
2432.0,160.0,105.0,7.0,53.81,3.54,2323,155
2432.0,0.0,109.0,4.0,53.81,0.0,2412,89
2560.0,128.0,115.0,6.0,56642,2832,2544,133
2658.0,98.0,122.0,7.0,58811,2168,2699,155
2828.0,170.0,132.0,10.0,62572,3761,2921,221
2930.0,102.0,134.0,2.0,64829,2257,2965,44
3020.0,90.0,142.0,8.0,66.82,1991,3142,177
3132.0,112.0,151.0,9.0,69299,2478,3341,199
3276.0,144.0,159.0,8.0,72485,3186,3518,177
3423.0,147.0,165.0,6.0,75737,3253,3651,133
3423.0,0.0,167.0,2.0,75737,0.0,3695,44
3767.0,344.0,185.0,18.0,83348,7611,4093,398
3767.0,0.0,186.0,1.0,83348,0.0,4115,22
3990.0,223.0,197.0,11.0,88283,4934,4359,243
4114.0,124.0,207.0,10.0,91026,2744,4.58,221
4272.0,158.0,214.0,7.0,94522,3496,4735,155
4415.0,143.0,218.0,4.0,97686,3164,4823,89
4519.0,104.0,225.0,7.0,99987,2301,4978,155
4668.0,149.0,237.0,12.0,103284,3297,5244,266
4770.0,102.0,246.0,9.0,105541,2257,5443,199
4874.0,104.0,260.0,14.0,107842,2301,5753,0.31
5007.0,133.0,264.0,4.0,110785,2943,5841,89
5195.0,188.0,273.0,9.0,114944,4.16,6.04,199
5358.0,163.0,282.0,9.0,118551,3607,6.24,199
5598.0,240.0,293.0,11.0,123861,5.31,6483,243
5763.0,165.0,300.0,7.0,127512,3651,6638,155
5776.0,13.0,300.0,0.0,127.8,288,6638,0.0
6021.0,245.0,305.0,5.0,133.22,5421,6748,111
6550.0,529.0,319.0,14.0,144925,11705,7058,0.31
6866.0,316.0,329.0,10.0,151917,6992,7279,221
7121.0,255.0,353.0,24.0,157559,5642,7.81,531
7466.0,345.0,356.0,3.0,165192,7633,7877,66
7792.0,326.0,363.0,7.0,172405,7213,8032,155
7792.0,0.0,366.0,3.0,172405,0.0,8098,66
8358.0,566.0,382.0,16.0,184929,12523,8452,354
8796.0,438.0,393.0,11.0,194.62,9691,8696,243
9270.0,474.0,403.0,10.0,205108,10488,8917,221
9918.0,648.0,416.0,13.0,219445,14338,9204,288
10636.0,718.0,433.0,17.0,235332,15886,9581,376
11340.0,704.0,445.0,12.0,250908,15577,9846,266
12063.0,723.0,452.0,7.0,266905,15997,10001,155
12615.0,552.0,467.0,15.0,279119,12214,10333,332
13215.0,600.0,484.0,17.0,292395,13276,10709,376
13920.0,705.0,500.0,16.0,307993,15599,11063,354
14689.0,769.0,508.0,8.0,325008,17015,11.24,177
15406.0,717.0,520.0,12.0,340873,15864,11505,266
16201.0,795.0,528.0,8.0,358463,17.59,11683,177
16838.0,637.0,539.0,11.0,372557,14094,11926,243
17402.0,564.0,556.0,17.0,385036,12479,12302,376
18306.0,904.0,569.0,13.0,405038,20002,12.59,288
19255.0,949.0,583.0,14.0,426035,20998,12899,0.31
19255.0,0.0,588.0,5.0,426035,0.0,13.01,111
21024.0,1769.0,632.0,44.0,465176,39141,13984,974
22007.0,983.0,648.0,16.0,486926,21.75,14338,354
22781.0,774.0,664.0,16.0,504052,17125,14692,354
23607.0,826.0,693.0,29.0,522328,18276,15333,642
24748.0,1141.0,717.0,24.0,547573,25246,15864,531
25987.0,1239.0,735.0,18.0,574987,27414,16263,398
27360.0,1373.0,765.0,30.0,605366,30379,16926,664
28751.0,1391.0,785.0,20.0,636144,30777,17369,443
30282.0,1531.0,815.0,30.0,670018,33875,18033,664
31564.0,1282.0,833.0,18.0,698384,28365,18431,398
32772.0,1208.0,854.0,21.0,725112,26728,18896,465
34146.0,1374.0,878.0,24.0,755513,30401,19427,531
35539.0,1393.0,913.0,35.0,786335,30821,20201,774
35539.0,0.0,929.0,16.0,786335,0.0,20555,354
39557.0,4018.0,979.0,50.0,875237,88902,21661,1106
41191.0,1634.0,992.0,13.0,911.39,36154,21949,288
42772.0,1581.0,1011.0,19.0,946372,34981,22369,0.42
44918.0,2146.0,1043.0,32.0,993854,47482,23077,708
44918.0,0.0,1049.0,6.0,993854,0.0,23.21,133
49838.0,4920.0,1085.0,36.0,1102714,108.86,24007,797
52444.0,2606.0,1124.0,39.0,1160374,57.66,24.87,863
52444.0,0.0,1167.0,43.0,1160374,0.0,25821,951
57731.0,5287.0,1207.0,40.0,1277354,116.98,26706,885
57731.0,0.0,1217.0,10.0,1277354,0.0,26927,221
62255.0,4524.0,1280.0,63.0,1377452,100098,28321,1394
64517.0,2262.0,1307.0,27.0,1427501,50049,28919,597
67184.0,2667.0,1351.0,44.0,1486511,59.01,29892,974
69928.0,2744.0,1385.0,34.0,1547224,60714,30644,752
72773.0,2845.0,1437.0,52.0,1610173,62948,31795,1151
72773.0,0.0,1453.0,16.0,1610173,0.0,32149,354
75363.0,2590.0,1490.0,37.0,1667479,57306,32968,819
77802.0,2439.0,1523.0,33.0,1721444,53965,33698,0.73
80434.0,2632.0,1602.0,79.0,1779.68,58236,35446,1748
83413.0,2979.0,1654.0,52.0,1845593,65913,36596,1151
87017.0,3604.0,1707.0,53.0,1925335,79742,37769,1173
90680.0,3663.0,1749.0,42.0,2006382,81047,38698,929
94047.0,3367.0,1810.0,61.0,2080.88,74498,40048,1.35
97496.0,3449.0,1818.0,8.0,2157193,76312,40225,177
100153.0,2657.0,1903.0,85.0,2215981,58789,42106,1881
103252.0,3099.0,1926.0,23.0,2284.55,68568,42615,509
106897.0,3645.0,2050.0,124.0,2365199,80649,45358,2744
111147.0,4250.0,2112.0,62.0,2459234,94035,46.73,1372
114770.0,3623.0,2133.0,21.0,2539397,80162,47195,465
119288.0,4518.0,2204.0,71.0,2639362,99965,48766,1571
122511.0,3223.0,2246.0,42.0,2710674,71312,49695,929
126742.0,4231.0,2373.0,127.0,2804289,93615,52505,2.81
130761.0,4019.0,2373.0,0.0,2893213,88924,52505,0.0
136105.0,5344.0,2506.0,133.0,3011454,118241,55448,2943
141887.0,5782.0,2617.0,111.0,3139386,127932,57904,2456
148014.0,6127.0,2722.0,105.0,3274952,135566,60227,2323
153507.0,5493.0,2847.0,125.0,3396.49,121538,62993,2766
162513.0,9006.0,2939.0,92.0,3595756,199266,65028,2036
162513.0,0.0,2956.0,17.0,3595756,0.0,65404,376
167403.0,4890.0,3082.0,126.0,3703952,108196,68192,2788
173342.0,5939.0,3200.0,118.0,3835358,131406,70803,2611
178983.0,5641.0,3311.0,111.0,3960171,124813,73259,2456
185360.0,6377.0,3466.0,155.0,4101268,141097,76689,3.43
191289.0,5929.0,3558.0,92.0,4232453,131185,78724,2036
196530.0,5241.0,3612.0,54.0,4348415,115962,79919,1195
201906.0,5376.0,3667.0,55.0,4467364,118949,81136,1217
206730.0,4824.0,3863.0,196.0,4574.1,106736,85473,4337
213522.0,6792.0,4009.0,146.0,4724379,150.28,88703,3.23
220669.0,7147.0,4135.0,126.0,4882514,158134,91491,2788
228182.0,7513.0,4291.0,156.0,5048746,166232,94942,3452
235664.0,7482.0,4450.0,159.0,5214292,165546,98461,3518
241798.0,6134.0,4556.0,106.0,5350013,135721,100806,2345
246486.0,4688.0,4634.0,78.0,5453.74,103727,102532,1726
253855.0,7369.0,4785.0,151.0,5616786,163046,105873,3341
260898.0,7043.0,5088.0,303.0,5772619,155833,112577,6704
268561.0,7663.0,5246.0,158.0,5942.17,169551,116073,3496
276059.0,7498.0,5428.0,182.0,6108071,165.9,120.1,4027
282424.0,6365.0,5565.0,137.0,6248902,140832,123131,3031
289087.0,6663.0,5657.0,92.0,6396328,147425,125167,2036
294556.0,5469.0,5750.0,93.0,6517335,121007,127224,2058
299113.0,4557.0,5877.0,127.0,6618163,100828,130034,2.81
305953.0,6840.0,6114.0,237.0,6769504,151342,135278,5244
312646.0,6693.0,6406.0,292.0,6917593,148089,141739,6461
320871.0,8225.0,6567.0,161.0,7099579,181986,145301,3562
329030.0,8159.0,6795.0,228.0,7280105,180526,150346,5045
336789.0,7759.0,6848.0,53.0,7451.78,171675,151519,1173
342141.0,5352.0,7079.0,231.0,7570198,118418,156.63,5111
350854.0,8713.0,7402.0,323.0,7762982,192783,163776,7147
359625.0,8771.0,7661.0,259.0,7957049,194067,169507,5731
370175.0,10550.0,7944.0,283.0,8190478,233429,175769,6262
380279.0,10104.0,8129.0,185.0,8414038,223561,179862,4093
392009.0,11730.0,8305.0,176.0,8673576,259538,183756,3894
401226.0,9217.0,8401.0,96.0,8877511,203935,185.88,2124
408413.0,7187.0,8498.0,97.0,9036.53,159019,188026,2146
417722.0,9309.0,8730.0,232.0,9242501,205971,193.16,5133
428226.0,10504.0,8971.0,241.0,9474912,232411,198492,5332
439159.0,10933.0,9155.0,184.0,9716815,241903,202563,4071
451185.0,12026.0,9468.0,313.0,9982902,266087,209489,6925
461869.0,10684.0,9685.0,217.0,10219295,236394,214.29,4801
471793.0,9924.0,9807.0,122.0,10438874,219578,216989,2699
478779.0,6986.0,9912.0,105.0,10593445,154572,219313,2323
487994.0,9215.0,10179.0,267.0,10797336,203891,225.22,5908
500021.0,12027.0,10457.0,278.0,11063445,266109,231371,6151
512280.0,12259.0,10713.0,256.0,11334687,271242,237035,5664
524185.0,11905.0,10994.0,281.0,11598097,263.41,243253,6217
535690.0,11505.0,11206.0,212.0,11852656,254559,247944,4691
546468.0,10778.0,11307.0,101.0,12091.13,238474,250178,2235
555524.0,9056.0,11412.0,105.0,12291502,200373,252501,2323
565432.0,9908.0,11710.0,298.0,12510726,219224,259095,6594
577325.0,11893.0,11910.0,200.0,12773.87,263144,263.52,4425
588999.0,11674.0,12229.0,319.0,13032169,258298,270578,7058
601700.0,12701.0,12491.0,262.0,13313191,281022,276375,5797
613645.0,11945.0,12705.0,214.0,13577485,264295,281.11,4735
622921.0,9276.0,12909.0,204.0,13782726,205.24,285624,4514
640134.0,17213.0,13482.0,573.0,14163.58,380854,298302,12678
652161.0,12027.0,13952.0,470.0,14429689,266109,308701,10399
664799.0,12638.0,14376.0,424.0,14709317,279628,318083,9381
678266.0,13467.0,14766.0,390.0,15007287,297.97,326712,8629
691222.0,12956.0,15208.0,442.0,15293951,286664,336492,9.78
702471.0,11249.0,15543.0,335.0,15542846,248895,343904,7412
711312.0,8841.0,15749.0,206.0,15738462,195616,348462,4558
723119.0,11807.0,16113.0,364.0,15999703,261241,356516,8054
736596.0,13477.0,16519.0,406.0,16297894,298192,365499,8983
750988.0,14392.0,16937.0,418.0,16616331,318437,374747,9249
764989.0,14001.0,20288.0,3351.0,16926117,309786,448891,74144
779676.0,14687.0,20599.0,311.0,17251081,324964,455773,6881
790805.0,11129.0,20795.0,196.0,17497321,246.24,460109,4337
798473.0,7668.0,21018.0,223.0,17666982,169662,465043,4934
809715.0,11242.0,21468.0,450.0,17915723,248.74,475.0,9957
824455.0,14740.0,21827.0,359.0,18241859,326137,482943,7943
840902.0,16447.0,22226.0,399.0,18605765,363906,491772,8828
856356.0,15454.0,22710.0,484.0,18947699,341935,502481,10709
871455.0,15099.0,23225.0,515.0,19281779,334.08,513875,11395
883883.0,12428.0,23581.0,356.0,19556761,274981,521752,7877
894193.0,10310.0,23868.0,287.0,19784879,228119,528102,6.35
903717.0,9524.0,24186.0,318.0,19995607,210728,535138,7036
917022.0,13305.0,24572.0,386.0,20289993,294386,543679,8541
931954.0,14932.0,24921.0,349.0,20620378,330385,551401,7722
949050.0,17096.0,25342.0,421.0,20998643,378265,560716,9315
965596.0,16546.0,25723.0,381.0,21364739,366096,569146,8.43
979106.0,13510.0,26107.0,384.0,21663661,298922,577642,8496
989667.0,10561.0,26267.0,160.0,21897333,233672,581183,3.54
1002649.0,12982.0,26716.0,449.0,22184573,287239,591117,9935
1018986.0,16337.0,27100.0,384.0,22546045,361472,599614,8496
